                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2762,                 2.8663,                 1.6951,                0.15227,                0.13687,                0.06125,                0.02153,                 2.9417,                 4.0259,                 1.3021,              0.0006659,              0.0006659,              0.0006659
                      2,                 2.3358,                 2.4209,                 1.7809,                0.17699,                0.09916,                0.05177,                0.01659,                 2.9391,                 3.4106,                 1.2896,              0.0012798,              0.0012798,              0.0012798
                      3,                 2.2787,                 2.3917,                 1.7455,                0.18445,                 0.1434,                0.06725,                0.02297,                 3.1568,                 3.0467,                 1.3643,              0.0018409,              0.0018409,              0.0018409
                      4,                 2.2348,                 2.2728,                 1.7086,                 0.2286,                 0.2095,                0.12979,                0.04248,                  2.823,                  2.557,                 1.2279,              0.0017624,              0.0017624,              0.0017624
                      5,                 2.1945,                 2.1902,                 1.6605,                0.31182,                0.22067,                0.18121,                0.06412,                 2.6458,                 2.5945,                 1.1567,              0.0017624,              0.0017624,              0.0017624
                      6,                 2.1244,                 2.0889,                 1.6263,                0.34106,                0.21369,                0.17597,                0.06449,                  2.553,                 2.3983,                 1.1288,              0.0016832,              0.0016832,              0.0016832
                      7,                 2.0916,                 2.0425,                 1.5961,                 0.3126,                0.19693,                0.16729,                0.05407,                 2.7221,                 2.0964,                 1.2456,               0.001604,               0.001604,               0.001604
                      8,                  2.059,                 1.9594,                 1.5588,                0.32424,                0.18156,                 0.1307,                0.04269,                 2.7683,                 2.2781,                 1.2249,              0.0015248,              0.0015248,              0.0015248
                      9,                 2.0292,                 1.9379,                 1.5529,                 0.2851,                0.23045,                0.17535,                0.06255,                 2.4876,                  2.397,                 1.1215,              0.0014456,              0.0014456,              0.0014456
                     10,                 2.0309,                 1.8974,                  1.545,                0.35632,                0.23883,                0.19539,                0.06569,                 2.6824,                 2.1025,                  1.206,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.9871,                 1.8462,                  1.511,                0.46281,                0.22765,                0.21904,                0.08043,                 2.5156,                 2.0088,                 1.1392,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.9648,                 1.8033,                 1.4993,                0.37891,                0.19972,                0.17704,                0.06188,                 2.7036,                 2.0933,                 1.2249,               0.001208,               0.001208,               0.001208
                     13,                   1.96,                 1.7914,                 1.4985,                0.44136,                0.27095,                0.27414,                0.10443,                 2.4167,                 1.9007,                 1.1122,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.9298,                 1.7348,                 1.4857,                0.36545,                0.25698,                0.21953,                0.07971,                 2.4645,                 2.0375,                 1.1181,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.9233,                 1.7151,                 1.4632,                0.43008,                0.31425,                0.30954,                0.11241,                 2.4043,                 1.8022,                 1.0987,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.9255,                 1.7135,                 1.4941,                0.54477,                0.28631,                0.30587,                0.12151,                 2.4057,                 1.8475,                 1.0994,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.9082,                 1.6463,                 1.4848,                 0.4418,                0.26536,                0.26632,                0.10114,                 2.4174,                 1.8725,                 1.1138,               0.000812,               0.000812,               0.000812
                     18,                 1.8953,                 1.6217,                 1.4729,                0.41837,                0.28771,                0.27128,                 0.1054,                 2.3829,                 1.8727,                 1.1092,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.8671,                 1.6031,                 1.4656,                0.43429,                0.30028,                 0.2872,                0.10896,                 2.3851,                 1.7887,                 1.0815,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.8573,                 1.5675,                 1.4508,                0.44845,                0.32821,                0.30687,                0.11817,                 2.3256,                 1.7811,                 1.0783,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.8402,                 1.5364,                 1.4418,                0.52341,                0.28352,                0.30819,                0.12038,                 2.3321,                 1.7305,                 1.0886,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.8153,                 1.4848,                 1.4199,                0.49253,                0.32402,                0.33356,                0.13202,                 2.2805,                 1.6851,                  1.101,               0.000416,               0.000416,               0.000416
                     23,                 1.7908,                  1.456,                 1.4116,                0.51128,                0.34218,                0.35713,                0.14555,                 2.2281,                 1.6511,                 1.0653,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.7828,                 1.4327,                 1.4019,                0.48692,                0.34218,                0.31886,                0.12662,                  2.246,                 1.6809,                 1.0838,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.7469,                 1.3982,                 1.3854,                0.51746,                0.35347,                0.35253,                0.14206,                   2.23,                  1.638,                 1.0669,              0.0001784,              0.0001784,              0.0001784
